SN,Station,StreamType,Customer,Desc_,Status,Lat,Long,LAT,LNG
174430.0,yes,Trash,Philadelphia City of,Se Willow Grove/Germantown ave,In Service,40.0706,-75.2006,40.07060000000007,-75.20059999999995
174431.0,yes,Trash,Philadelphia City of,Nw 2nd/Fairmount,In Service,39.9620192385,-75.1412678135,39.96201923800004,-75.14126781299996
174432.0,yes,Trash,Philadelphia City of,7340 Frankford ave,In Service,40.0374,-75.0392,40.03740000000005,-75.03919999999994
174433.0,yes,Trash,Philadelphia City of,Sw Gilham/Frankford/ At WAWA,In Service,40.0296767722,-75.0558877546,40.02967677200007,-75.05588775499996
174435.0,yes,Trash,Philadelphia City of,Frank & Ryan,In Service,40.0452149,-75.0452353,40.045214900000076,-75.04523529999994
174439.0,yes,Trash,Philadelphia City of,Nw 3rd/Fairmount,In Service,39.9624370048,-75.1431555681,39.96243700500003,-75.14315556799994
174440.0,yes,Trash,Philadelphia City of,Ne Broad/Montgomery,In Service,39.9802,-75.1573,39.980200000000025,-75.15729999999996
174441.0,yes,Trash,Philadelphia City of,Se Broad/Norris,In Service,39.9830458042,-75.156706881,39.98304580400003,-75.15670688099993
174442.0,no,Trash,Philadelphia City of,Nw Ridge/Green Ln.,In Service,40.034349082,-75.2160469387,40.03434908200006,-75.21604693899997
174443.0,yes,Trash,Philadelphia City of,Nw 12th/Spruce,In Service,39.9465917748,-75.1610804663,39.94659177500006,-75.16108046599999
174444.0,yes,Trash,Philadelphia City of,Ne Broad/Erie,In Service,40.0094,-75.151,40.00940000000003,-75.15099999999995
174445.0,no,Trash,Philadelphia City of,Nw 2nd/Wildley,In Service,39.9664876658,-75.1403896786,39.966487666000035,-75.14038967899995
174446.0,no,Trash,Philadelphia City of,Nw 52nd/Walnut,In Service,39.957104112,-75.2256180172,39.957104112000025,-75.22561801699999
174447.0,no,Trash,Philadelphia City of,Nw Abington/Germantown ave,In Service,40.0719738909,-75.2018965595,40.07197389100003,-75.20189655999997
174448.0,no,Trash,Philadelphia City of,Se Springfield/Germantown ave,In Service,40.0696164208,-75.1997034405,40.069616421000035,-75.19970343999995
174449.0,no,Trash,Philadelphia City of,Sw 5th/Huntington,In Service,39.9904,-75.1406,39.99040000000008,-75.14059999999995
174450.0,no,Trash,Philadelphia City of,Sw Mermaid/Germantown mid block/Plaza Cleaners,In Service,40.0681553753,-75.197920756,40.06815537500006,-75.19792075599997
174451.0,no,Trash,Philadelphia City of,Ne Greeby/Frankford/ave,In Service,40.0297,-75.0556,40.02970000000005,-75.05559999999997
174452.0,no,Trash,Philadelphia City of,Sw Springfield/Germantown ave,In Service,40.0694,-75.1997,40.06940000000003,-75.19969999999995
174453.0,no,Trash,Philadelphia City of,52nd Street btwn Locust and Irving,In Service,39.9555,-75.2258,39.95550000000003,-75.22579999999994
174454.0,no,Trash,Philadelphia City of,Se 52nd/Arch,In Service,39.9614,-75.2244,39.961400000000026,-75.22439999999995
174456.0,no,Trash,Philadelphia City of,Se 5th/York,In Service,39.9875,-75.1411,39.98750000000007,-75.14109999999994
174457.0,no,Trash,Philadelphia City of,Ne 5th/Susquehanna,In Service,39.9844,-75.1417,39.98440000000005,-75.14169999999996
174458.0,no,Trash,Philadelphia City of,Nw 52nd/Chestnut,In Service,39.9586041119,-75.2253448393,39.958604112000046,-75.22534483899994
174459.0,no,Trash,Philadelphia City of,Nw 2nd/Brown,In Service,39.9631,-75.141,39.963100000000054,-75.14099999999996
174460.0,no,Trash,Philadelphia City of,Sw 5th/Dauphin,In Service,39.9859,-75.1416,39.98590000000007,-75.14159999999998
174461.0,no,Trash,Philadelphia City of,Sw Saint Vincent/Frankford ave,In Service,40.035532858,-75.0433088049,40.03553285800007,-75.04330880499998
